state,year,pop
Alabama,1788,nan
Alaska,1788,nan
Arizona,1788,nan
Arkansas,1788,nan
California,1788,nan
Colorado,1788,nan
Connecticut,1788,235334.8
Delaware,1788,58060.6
District of Columbia,1788,nan
Florida,1788,nan
Georgia,1788,66520.4
Hawaii,1788,nan
Idaho,1788,nan
Illinois,1788,nan
Indiana,1788,nan
Iowa,1788,nan
Kansas,1788,nan
Kentucky,1788,44220.6
Louisiana,1788,nan
Maine,1788,85504.2
Maryland,1788,315364.0
Massachusetts,1788,369975.4
Michigan,1788,nan
Minnesota,1788,nan
Mississippi,1788,nan
Missouri,1788,nan
Montana,1788,nan
Nebraska,1788,nan
Nevada,1788,nan
New Hampshire,1788,133490.4
New Jersey,1788,178737.0
New Mexico,1788,nan
New York,1788,290934.0
North Carolina,1788,376880.6
North Dakota,1788,nan
Ohio,1788,nan
Oklahoma,1788,nan
Oregon,1788,nan
Pennsylvania,1788,400738.6
Rhode Island,1788,68765.6
South Carolina,1788,229769.4
South Dakota,1788,nan
Tennessee,1788,21708.8
Texas,1788,nan
Utah,1788,nan
Vermont,1788,71617.0
Virginia,1788,668813.0
Washington,1788,nan
West Virginia,1788,51329.2
Wisconsin,1788,nan
Wyoming,1788,nan
Alabama,1792,nan
Alaska,1792,nan
Arizona,1792,nan
Arkansas,1792,nan
California,1792,nan
Colorado,1792,nan
Connecticut,1792,240557.2
Delaware,1792,60131.4
District of Columbia,1792,nan
Florida,1792,nan
Georgia,1792,98575.6
Hawaii,1792,nan
Idaho,1792,nan
Illinois,1792,nan
Indiana,1792,nan
Iowa,1792,nan
Kansas,1792,nan
Kentucky,1792,103133.4
Louisiana,1792,nan
Maine,1792,107575.8
Maryland,1792,324092.0
Massachusetts,1792,387598.6
Michigan,1792,nan
Minnesota,1792,nan
Mississippi,1792,nan
Missouri,1792,nan
Montana,1792,nan
Nebraska,1792,nan
Nevada,1792,nan
New Hampshire,1792,150279.6
New Jersey,1792,189541.0
New Mexico,1792,nan
New York,1792,389306.0
North Carolina,1792,410621.4
North Dakota,1792,nan
Ohio,1792,nan
Oklahoma,1792,nan
Oregon,1792,nan
Pennsylvania,1792,468007.4
Rhode Island,1792,68884.4
South Carolina,1792,268376.6
South Dakota,1792,nan
Tennessee,1792,49673.2
Texas,1792,nan
Utah,1792,nan
Vermont,1792,99233.0
Virginia,1792,715061.0
Washington,1792,nan
West Virginia,1792,60416.8
Wisconsin,1792,nan
Wyoming,1792,nan
Alabama,1796,nan
Alaska,1796,nan
Arizona,1796,nan
Arkansas,1796,nan
California,1796,nan
Colorado,1796,nan
Connecticut,1796,245779.6
Delaware,1796,62202.2
District of Columbia,1796,nan
Florida,1796,nan
Georgia,1796,130630.8
Hawaii,1796,nan
Idaho,1796,nan
Illinois,1796,nan
Indiana,1796,nan
Iowa,1796,nan
Kansas,1796,nan
Kentucky,1796,162046.2
Louisiana,1796,nan
Maine,1796,129647.4
Maryland,1796,332820.0
Massachusetts,1796,405221.8
Michigan,1796,nan
Minnesota,1796,nan
Mississippi,1796,nan
Missouri,1796,nan
Montana,1796,nan
Nebraska,1796,nan
Nevada,1796,nan
New Hampshire,1796,167068.8
New Jersey,1796,200345.0
New Mexico,1796,nan
New York,1796,487678.0
North Carolina,1796,444362.2
North Dakota,1796,nan
Ohio,1796,nan
Oklahoma,1796,nan
Oregon,1796,nan
Pennsylvania,1796,535276.2
Rhode Island,1796,69003.2
South Carolina,1796,306983.8
South Dakota,1796,nan
Tennessee,1796,77637.6
Texas,1796,nan
Utah,1796,nan
Vermont,1796,126849.0
Virginia,1796,761309.0
Washington,1796,nan
West Virginia,1796,69504.4
Wisconsin,1796,nan
Wyoming,1796,nan
Alabama,1800,nan
Alaska,1800,nan
Arizona,1800,nan
Arkansas,1800,nan
California,1800,nan
Colorado,1800,nan
Connecticut,1800,251002.0
Delaware,1800,64273.0
District of Columbia,1800,nan
Florida,1800,nan
Georgia,1800,162686.0
Hawaii,1800,nan
Idaho,1800,nan
Illinois,1800,nan
Indiana,1800,nan
Iowa,1800,nan
Kansas,1800,nan
Kentucky,1800,220959.0
Louisiana,1800,nan
Maine,1800,151719.0
Maryland,1800,341548.0
Massachusetts,1800,422845.0
Michigan,1800,nan
Minnesota,1800,nan
Mississippi,1800,nan
Missouri,1800,nan
Montana,1800,nan
Nebraska,1800,nan
Nevada,1800,nan
New Hampshire,1800,183858.0
New Jersey,1800,211149.0
New Mexico,1800,nan
New York,1800,586050.0
North Carolina,1800,478103.0
North Dakota,1800,nan
Ohio,1800,nan
Oklahoma,1800,nan
Oregon,1800,nan
Pennsylvania,1800,602545.0
Rhode Island,1800,69122.0
South Carolina,1800,345591.0
South Dakota,1800,nan
Tennessee,1800,105602.0
Texas,1800,nan
Utah,1800,nan
Vermont,1800,154465.0
Virginia,1800,807557.0
Washington,1800,nan
